month,n_trades,n_purchases,n_sales,total_est_value,mean_return_30d,mean_return_60d,mean_return_90d,mean_excess_30d,mean_excess_60d,mean_excess_90d,mean_copy_return_30d,mean_copy_return_60d,mean_copy_return_90d,pct_democrat,pct_republican
2020-01,2,1,1,925000,-28.72,-17.85,-2.9,-2.14,-4.33,9.15,-29.56,-19.6,-4.29,50.0,50.0
2020-02,2,0,2,925000,-29.85,-18.1,-14.42,-13.88,-6.14,-7.43,35.28,64.56,71.27,0.0,100.0
2020-03,2,2,0,107500,17.15,11.06,9.21,6.45,-9.02,-12.44,5.69,0.2,-1.48,50.0,50.0
2020-05,1,1,0,75000,-1.37,-4.13,4.56,-10.69,-19.0,-15.39,-4.54,-7.21,1.19,0.0,100.0
2020-06,1,1,0,32500,16.71,-3.62,10.78,9.72,-13.98,0.89,28.15,5.83,21.64,0.0,100.0
2021-03,1,1,0,750000,7.31,9.9,20.71,0.0,1.48,9.71,-3.39,-1.05,8.68,100.0,0.0
2021-05,2,1,1,107500,32.96,23.06,23.32,26.34,17.12,13.99,-0.81,-8.18,-8.12,50.0,50.0
2021-06,2,1,1,450000,-21.52,-29.74,-27.96,-26.77,-34.56,-32.54,-2.53,-17.49,-12.94,50.0,50.0
2021-10,2,2,0,65000,11.07,12.77,1.47,7.53,8.16,1.41,-2.75,-1.64,-11.25,0.0,100.0
2021-11,2,0,2,3175000,-3.07,-13.66,-19.84,-5.42,-9.02,-12.82,-0.19,-11.15,-17.55,100.0,0.0
2021-12,1,0,1,32500,9.39,27.71,33.11,17.33,38.34,41.02,3.85,21.24,26.37,0.0,100.0
2022-02,1,1,0,175000,3.9,-3.8,-4.07,1.36,2.49,8.1,2.88,-4.75,-5.01,0.0,100.0
2022-03,4,4,0,890000,-2.89,10.88,-0.98,-0.9,15.48,9.34,-3.71,10.18,-1.61,25.0,75.0
2022-05,2,2,0,65000,-14.17,5.08,-6.74,-11.39,0.59,-7.38,-15.4,3.58,-8.14,100.0,0.0
2022-06,2,1,1,107500,-4.54,1.06,-0.61,-15.01,-3.17,1.2,7.31,15.61,14.38,0.0,100.0
2022-07,1,1,0,75000,2.48,-1.35,5.4,-2.31,3.44,5.57,-2.16,-5.82,0.63,0.0,100.0
2022-09,2,2,0,65000,-0.84,1.42,4.04,1.59,5.06,6.58,4.6,6.94,9.7,0.0,100.0
2022-10,1,1,0,32500,20.81,-14.18,-17.59,17.17,-15.4,-24.77,3.75,-26.29,-29.23,100.0,0.0
2022-11,1,0,1,3000000,2.24,5.95,2.39,1.3,1.2,3.62,8.59,12.54,8.76,100.0,0.0
2022-12,1,1,0,750000,41.57,36.45,34.52,35.46,33.33,28.17,72.26,66.03,63.68,100.0,0.0
2023-01,3,3,0,97500,3.02,13.8,15.63,1.16,8.47,9.23,-3.97,5.89,7.45,66.7,33.3
2023-03,3,3,0,97500,8.19,12.9,34.0,3.02,5.7,20.96,5.2,9.48,28.94,0.0,100.0
2023-04,1,1,0,32500,-11.33,-3.66,14.18,-13.91,-10.54,3.3,-3.21,5.17,24.64,0.0,100.0
2023-05,2,2,0,65000,26.15,32.3,32.36,19.62,24.0,24.3,3.08,8.08,8.08,0.0,100.0
2023-06,2,2,0,107500,33.71,23.72,20.5,30.92,20.83,21.53,5.12,-0.74,-3.09,50.0,50.0
2023-07,1,0,1,3000000,-7.66,-7.85,-5.84,-6.11,-3.09,-2.17,0.92,0.71,2.9,100.0,0.0
2023-08,1,1,0,32500,3.47,0.62,2.46,7.59,8.2,0.18,4.85,1.96,3.82,100.0,0.0
2023-10,4,4,0,130000,8.35,14.17,17.61,-1.44,1.18,-0.4,0.24,5.57,8.6,0.0,100.0
2023-11,3,3,0,182500,7.84,17.27,23.42,-1.55,5.12,7.31,1.48,10.35,15.82,66.7,33.3
2023-12,1,1,0,750000,-10.22,-9.51,-16.86,-15.41,-18.92,-28.13,-7.76,-7.03,-14.58,100.0,0.0
2024-01,1,1,0,750000,-14.68,-20.01,-10.48,-22.72,-29.21,-19.23,-16.11,-21.35,-11.98,100.0,0.0
2024-02,1,1,0,32500,36.72,36.54,25.9,30.38,32.67,18.0,-6.39,-6.51,-13.8,0.0,100.0
2024-06,7,7,0,1772500,0.99,-1.17,1.89,0.77,-3.99,-3.68,-7.1,-9.24,-6.83,57.1,42.9
2024-08,3,3,0,140000,13.19,20.11,36.21,5.64,10.63,23.59,7.42,13.64,29.52,0.0,100.0
2024-11,2,2,0,6000000,19.54,9.84,-2.62,21.04,8.44,-0.98,19.74,9.93,-2.44,100.0,0.0
