group,horizon_days,n_trades,mean_copycat_return,mean_spy_return,mean_excess_return,median_excess_return,win_rate_vs_spy,t_statistic,p_value,significant_5pct
All Trades,30,3962,0.0044,0.0118,-0.0074,-0.0115,0.4354,-5.18,0.0,True
Buy Trades,30,1764,0.0085,0.0126,-0.0041,-0.0109,0.4467,-1.882,0.06,False
Sell Trades,30,2189,0.001,0.0111,-0.0101,-0.0125,0.4267,-5.319,0.0,True
Party: Democrat,30,2265,-0.004,0.0056,-0.0096,-0.012,0.43,-5.551,0.0,True
Party: Republican,30,1696,0.0155,0.02,-0.0044,-0.0106,0.4428,-1.836,0.0666,False
Chamber: House,30,3759,0.0043,0.0131,-0.0088,-0.0125,0.4296,-6.138,0.0,True
Chamber: Senate,30,203,0.0062,-0.0126,0.0188,0.0122,0.5419,2.298,0.0226,True
All Trades,60,3962,0.0173,0.031,-0.0137,-0.0213,0.4185,-6.749,0.0,True
Buy Trades,60,1764,0.017,0.0311,-0.014,-0.0224,0.4138,-4.632,0.0,True
Sell Trades,60,2189,0.0177,0.0309,-0.0133,-0.0199,0.4235,-4.83,0.0,True
Party: Democrat,60,2265,0.0075,0.0273,-0.0198,-0.025,0.4084,-7.778,0.0,True
Party: Republican,60,1696,0.0304,0.0359,-0.0055,-0.0145,0.4322,-1.678,0.0935,False
Chamber: House,60,3759,0.0161,0.0324,-0.0163,-0.0225,0.4102,-7.987,0.0,True
Chamber: Senate,60,203,0.04,0.0056,0.0343,0.0165,0.5714,2.992,0.0031,True
All Trades,90,3962,0.0459,0.0642,-0.0184,-0.0354,0.3958,-6.742,0.0,True
Buy Trades,90,1764,0.047,0.0622,-0.0152,-0.034,0.3968,-3.709,0.0002,True
Sell Trades,90,2189,0.0455,0.066,-0.0205,-0.0371,0.3961,-5.612,0.0,True
Party: Democrat,90,2265,0.035,0.0599,-0.025,-0.0384,0.3894,-7.177,0.0,True
Party: Republican,90,1696,0.0605,0.07,-0.0095,-0.0318,0.4045,-2.191,0.0286,True
Chamber: House,90,3759,0.0439,0.0652,-0.0213,-0.0383,0.3881,-7.717,0.0,True
Chamber: Senate,90,203,0.0823,0.0468,0.0356,0.0107,0.5369,2.482,0.0139,True
All Trades,180,3962,0.0793,0.0954,-0.0161,-0.0455,0.4122,-3.433,0.0006,True
Buy Trades,180,1764,0.0657,0.0885,-0.0228,-0.0416,0.4218,-3.79,0.0002,True
Sell Trades,180,2189,0.091,0.1013,-0.0103,-0.0475,0.4057,-1.477,0.1398,False
Party: Democrat,180,2265,0.0503,0.0814,-0.0311,-0.0478,0.4004,-5.909,0.0,True
Party: Republican,180,1696,0.118,0.1139,0.0041,-0.0428,0.4281,0.49,0.6245,False
Chamber: House,180,3759,0.0766,0.0955,-0.0189,-0.0487,0.4084,-3.923,0.0001,True
Chamber: Senate,180,203,0.1295,0.0929,0.0365,-0.0038,0.4828,1.906,0.058,False
