politician,party,chamber,n_trades,n_buys,n_sells,avg_reporting_gap,mean_excess_30d,win_rate_30d,mean_excess_60d,win_rate_60d,mean_excess_90d,win_rate_90d,mean_excess_180d,win_rate_180d
Tim Moore,republican,house,15,10,5,31.8,0.0927,1.0,0.0711,1.0,0.0762,0.4,0.0896,1.0
Tina Smith,democrat,senate,3,1,2,13.0,0.0709,1.0,0.078,1.0,0.0091,0.6667,-0.0016,0.6667
Laurel Lee,republican,house,4,2,1,30.8,0.059,0.75,0.1003,0.75,-0.027,0.5,0.0129,0.25
Virginia Foxx,republican,house,12,10,2,20.2,0.0549,0.5,0.0629,0.5833,0.0182,0.5,-0.0141,0.5833
Rick Allen,republican,house,6,3,3,27.3,0.0531,0.6667,0.0222,0.6667,0.0259,0.6667,0.0166,0.5
Tommy Tuberville,republican,senate,26,3,23,25.3,0.0471,0.5385,0.0331,0.4231,0.0684,0.5,0.0381,0.5385
Sheldon Whitehouse,democrat,senate,21,2,19,21.6,0.0397,0.619,0.0444,0.5238,0.041,0.5714,0.0377,0.5238
Ashley Moody,republican,senate,10,9,1,33.3,0.0353,0.5,0.0033,0.5,0.0484,0.5,-0.0228,0.4
John Boozman,republican,senate,52,34,18,29.8,0.0291,0.6154,0.0667,0.7115,0.0666,0.6154,0.1181,0.6346
Mark Green,republican,house,7,0,7,9.0,0.0287,0.7143,-0.0612,0.5714,-0.0575,0.2857,-0.0285,0.5714
Julie Johnson,democrat,house,107,26,81,27.3,0.0233,0.5421,0.0084,0.4953,0.0045,0.486,0.0285,0.514
Cleo Fields,democrat,house,28,27,1,11.4,0.0201,0.5357,0.0302,0.6071,0.0697,0.6071,0.0863,0.6429
Ron Wyden,democrat,senate,5,1,4,20.2,0.0163,0.8,0.0048,0.6,-0.0797,0.4,-0.1746,0.0
Kelly Morrison,democrat,house,8,2,6,25.5,0.0112,0.625,0.033,0.625,0.098,0.875,0.0342,0.5
Bruce Westerman,republican,house,102,7,95,21.9,0.0109,0.5686,-0.0069,0.4314,-0.0126,0.4608,-0.0084,0.4216
Gil Cisneros,democrat,house,126,65,61,21.6,0.0103,0.5159,-0.0129,0.4206,-0.0317,0.4127,-0.0486,0.373
Kathy Manning,democrat,house,35,22,13,45.0,0.0064,0.6286,-0.0078,0.4857,-0.0194,0.4857,-0.0403,0.4
Chip Roy,republican,house,6,0,6,5.8,0.0062,0.6667,-0.0385,0.3333,-0.0559,0.3333,-0.015,0.3333
Markwayne Mullin,republican,senate,31,16,15,25.5,0.0059,0.5484,0.0209,0.6452,0.022,0.5484,0.0453,0.4516
Val Hoyle,democrat,house,78,66,12,233.9,0.005,0.5641,-0.0349,0.3718,-0.0432,0.3205,-0.063,0.3077
Jared Moskowitz,democrat,house,44,31,13,35.2,0.0048,0.5909,0.0146,0.5,-0.0022,0.3636,-0.0484,0.3409
Chuck Fleischmann,republican,house,7,4,3,27.9,0.0044,0.2857,0.0602,0.7143,0.0602,0.7143,0.075,0.5714
Josh Gottheimer,democrat,house,305,100,205,26.6,-0.0006,0.4656,-0.0106,0.4361,-0.0153,0.4295,-0.0267,0.4098
Shelley Moore Capito,republican,senate,35,5,30,23.1,-0.003,0.5143,0.018,0.4857,0.0119,0.5429,0.0075,0.4
Marjorie Taylor Greene,republican,house,134,133,1,1.6,-0.0037,0.4478,-0.006,0.3806,0.0022,0.4104,0.0189,0.4552
Kevin Hern,republican,house,14,14,0,24.4,-0.0046,0.4286,-0.062,0.2143,-0.0683,0.2857,-0.0005,0.5
Jonathan Jackson,democrat,house,24,9,15,31.0,-0.0049,0.5833,-0.0097,0.7083,-0.045,0.2917,-0.0994,0.2917
Byron Donalds,republican,house,36,19,17,321.6,-0.0051,0.4167,0.0036,0.4722,-0.0252,0.3611,-0.0334,0.3333
Jefferson Shreve,republican,house,362,92,270,36.8,-0.0071,0.4033,-0.0088,0.4144,-0.0337,0.3011,-0.0167,0.337
Rob Bresnahan,republican,house,264,100,164,28.3,-0.0082,0.3902,0.0112,0.4621,0.014,0.447,0.039,0.4091
Scott Franklin,republican,house,36,28,8,305.4,-0.0086,0.3889,0.0099,0.4444,-0.0114,0.3056,0.0053,0.3889
Tom Carper,democrat,senate,6,3,3,6.3,-0.009,0.3333,0.1377,0.5,0.1072,0.1667,0.1238,0.5
Thomas Kean Jr,republican,house,12,6,2,28.5,-0.0106,0.5,-0.0278,0.5,0.0089,0.5,0.0123,0.4167
Michael McCaul,republican,house,470,100,370,23.9,-0.0173,0.4128,-0.0295,0.3681,-0.024,0.3957,-0.0148,0.4574
Ro Khanna,democrat,house,1297,697,600,23.4,-0.0182,0.3847,-0.0303,0.3801,-0.0345,0.3616,-0.0362,0.3971
Tom Suozzi,democrat,house,8,1,7,22.1,-0.0196,0.375,0.0515,0.5,0.0309,0.5,0.0594,0.5
Dan Newhouse,republican,house,28,17,11,15.0,-0.0203,0.3929,-0.038,0.3214,-0.0382,0.3929,-0.0557,0.4286
Greg Landsman,democrat,house,87,35,51,200.9,-0.0224,0.3678,0.0025,0.4253,0.0044,0.4943,-0.0123,0.3793
April McClain Delaney,democrat,house,26,16,10,21.6,-0.0263,0.4615,-0.0438,0.2692,-0.0186,0.2692,-0.1067,0.3077
Michael Burgess,republican,house,3,0,3,26.0,-0.0265,0.3333,-0.0819,0.3333,-0.1078,0.3333,-0.0458,0.0
Bill Keating,democrat,house,12,10,2,17.4,-0.0271,0.4167,-0.0161,0.5,-0.0022,0.5,-0.0269,0.4167
Gary Peters,democrat,senate,3,0,3,18.7,-0.0287,0.0,-0.1335,0.0,-0.165,0.3333,-0.2094,0.0
Doug Lamborn,republican,house,4,2,2,25.8,-0.0346,0.5,0.0434,0.5,0.021,0.5,-0.0221,0.5
Lloyd Doggett,democrat,house,15,15,0,27.5,-0.0532,0.1333,-0.0536,0.1333,-0.0791,0.1333,-0.034,0.3333
John Hickenlooper,democrat,senate,4,0,3,31.0,-0.0722,0.0,-0.1127,0.5,-0.1577,0.0,-0.1773,0.0
Debbie Wasserman Schultz,democrat,house,5,4,1,109.8,-0.0762,0.2,0.1226,0.6,0.0746,0.6,0.2092,0.6
